2024-07-02 22:14:25,671 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\pom.xml
2024-07-02 22:14:27,042 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jpa.cibertec:ExamenCL3BarazordaAstetePablo:0.0.1-SNAPSHOT @ C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\pom.xml.
2024-07-02 22:14:28,422 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ExamenCL3BarazordaAstetePablo/src/main/java
2024-07-02 22:14:28,423 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ExamenCL3BarazordaAstetePablo/src/main/resources
2024-07-02 22:14:28,432 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ExamenCL3BarazordaAstetePablo/src/test/java
2024-07-02 22:14:30,335 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2024-07-02 22:14:31,419 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:14:31,429 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 22:14:31,432 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:14:31,433 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 22:34:15,515 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jpa.cibertec:LPII_CL2_BarazordaPablo:0.0.1-SNAPSHOT @ C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\pom.xml.
2024-07-02 22:34:17,682 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:34:17,684 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2024-07-02 22:34:17,694 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:34:17,694 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-07-02 22:34:20,682 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:34:20,690 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2024-07-02 22:34:20,696 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:34:20,696 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-07-02 22:35:15,389 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jpa.cibertec:ExamenCL3BarazordaAstetePablo:0.0.1-SNAPSHOT @ C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\pom.xml.
2024-07-02 22:35:15,815 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:35:15,817 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 22:35:15,818 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:35:15,819 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 22:35:15,820 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ExamenCL3BarazordaAstetePablo
2024-07-02 22:35:15,820 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ExamenCL3BarazordaAstetePablo
2024-07-02 22:35:15,831 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:37:02,230 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jpa.cibertec:ExamenCL3BarazordaAstetePablo:0.0.1-SNAPSHOT @ C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\pom.xml.
2024-07-02 22:37:03,541 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:37:03,543 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 22:37:03,544 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:37:03,545 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 22:37:03,545 [Worker-25] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ExamenCL3BarazordaAstetePablo
2024-07-02 22:37:03,545 [Worker-25] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ExamenCL3BarazordaAstetePablo
2024-07-02 22:37:03,549 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:37:05,257 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:37:05,258 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 22:37:05,259 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:37:05,261 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 22:47:45,575 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:47:45,577 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 22:47:45,581 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:47:45,582 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 22:51:32,744 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:51:32,745 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 22:51:32,746 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:51:32,747 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 22:56:02,273 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:56:02,274 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 22:56:02,276 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 22:56:02,278 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:19:25,651 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:19:25,654 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:19:25,655 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:19:25,657 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:19:40,738 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
